Timestamp,Symbol,Price,Type,Status,Bid,Ask,NoBid,NoAsk,Last,Volume,Depth,StrikeType,FloorStrike,CapStrike
2026-09-06T15:49:41.877238,KXHIGHLAX-26SEP06-T83 (Market),0.01,MARKET_DATA,REAL,0.01,0.02,0.98,0.99,0.02,37959,,greater,83.0,
2026-09-06T15:49:41.877348,KXHIGHLAX-26SEP06-T76 (Market),0.1,MARKET_DATA,REAL,0.1,0.11,0.89,0.9,0.1,29419,,less,,76.0
2026-09-06T15:49:41.877459,KXHIGHLAX-26SEP06-B82.5 (Market),0.05,MARKET_DATA,REAL,0.05,0.06,0.94,0.95,0.07,20548,,between,82.0,83.0
2026-09-06T15:49:41.877570,KXHIGHLAX-26SEP06-B80.5 (Market),0.15,MARKET_DATA,REAL,0.15,0.17,0.83,0.85,0.17,30399,,between,80.0,81.0
2026-09-06T15:49:41.877681,KXHIGHLAX-26SEP06-B78.5 (Market),0.46,MARKET_DATA,REAL,0.46,0.5,0.5,0.54,0.52,34643,,between,78.0,79.0
2026-09-06T15:49:41.877793,KXHIGHLAX-26SEP06-B76.5 (Market),0.19,MARKET_DATA,REAL,0.19,0.23,0.77,0.81,0.24,32527,,between,76.0,77.0
2026-09-06T15:49:41.877903,KXHIGHLAX (F),68.0,MARKET_DATA,REAL,,,,,,,,,,
2026-09-06T15:49:45.265704,KXHIGHMIA-26SEP07-T93 (Market),0.05,MARKET_DATA,REAL,0.05,0.06,0.94,0.95,0.06,271,,greater,93.0,
2026-09-06T15:49:45.270637,KXHIGHMIA-26SEP07-T86 (Market),0.02,MARKET_DATA,REAL,0.0,0.02,0.98,1.0,0.01,416,,less,,86.0
2026-09-06T15:49:45.275601,KXHIGHMIA-26SEP07-B92.5 (Market),0.39,MARKET_DATA,REAL,0.39,0.4,0.6,0.61,0.39,78,,between,92.0,93.0
2026-09-06T15:49:45.280558,KXHIGHMIA-26SEP07-B90.5 (Market),0.39,MARKET_DATA,REAL,0.39,0.4,0.6,0.61,0.4,96,,between,90.0,91.0
2026-09-06T15:49:45.285369,KXHIGHMIA-26SEP07-B88.5 (Market),0.1,MARKET_DATA,REAL,0.1,0.11,0.89,0.9,0.11,47,,between,88.0,89.0
2026-09-06T15:49:45.290177,KXHIGHMIA-26SEP07-B86.5 (Market),0.01,MARKET_DATA,REAL,0.01,0.02,0.98,0.99,0.01,268,,between,86.0,87.0
2026-09-06T15:49:45.294975,KXHIGHMIA-26SEP06-T93 (Market),0.06,MARKET_DATA,REAL,0.06,0.08,0.92,0.94,0.07,3599,,greater,93.0,
2026-09-06T15:49:45.299802,KXHIGHMIA-26SEP06-T86 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,3472,,less,,86.0
2026-09-06T15:49:45.303899,KXHIGHMIA-26SEP06-B92.5 (Market),0.37,MARKET_DATA,REAL,0.37,0.4,0.6,0.63,0.38,8266,,between,92.0,93.0
2026-09-06T15:49:45.308789,KXHIGHMIA-26SEP06-B90.5 (Market),0.45,MARKET_DATA,REAL,0.45,0.48,0.52,0.55,0.47,5016,,between,90.0,91.0
2026-09-06T15:49:45.313595,KXHIGHMIA-26SEP06-B88.5 (Market),0.06,MARKET_DATA,REAL,0.06,0.07,0.93,0.94,0.07,7594,,between,88.0,89.0
2026-09-06T15:49:45.317647,KXHIGHMIA-26SEP06-B86.5 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,5471,,between,86.0,87.0
2026-09-06T15:49:45.322542,KXHIGHMIA (F),87.98,MARKET_DATA,REAL,,,,,,,,,,
2026-09-06T15:49:57.365995,KXHIGHNY-26SEP07-T84 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,876,,greater,84.0,
2026-09-06T15:49:57.366340,KXHIGHNY-26SEP07-T77 (Market),0.07,MARKET_DATA,REAL,0.07,0.08,0.92,0.93,0.07,35,,less,,77.0
2026-09-06T15:49:57.366469,KXHIGHNY-26SEP07-B83.5 (Market),0.02,MARKET_DATA,REAL,0.02,0.03,0.97,0.98,0.01,151,,between,83.0,84.0
2026-09-06T15:49:57.366586,KXHIGHNY-26SEP07-B81.5 (Market),0.07,MARKET_DATA,REAL,0.07,0.08,0.92,0.93,0.07,89,,between,81.0,82.0
2026-09-06T15:49:57.366698,KXHIGHNY-26SEP07-B79.5 (Market),0.48,MARKET_DATA,REAL,0.48,0.49,0.51,0.52,0.49,521,,between,79.0,80.0
2026-09-06T15:49:57.366811,KXHIGHNY-26SEP07-B77.5 (Market),0.38,MARKET_DATA,REAL,0.38,0.39,0.61,0.62,0.42,274,,between,77.0,78.0
2026-09-06T15:49:57.366922,KXHIGHNY-26SEP06-T80 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,1715,,greater,80.0,
2026-09-06T15:49:57.367031,KXHIGHNY-26SEP06-T73 (Market),0.02,MARKET_DATA,REAL,0.02,0.04,0.96,0.98,0.04,11838,,less,,73.0
2026-09-06T15:49:57.367141,KXHIGHNY-26SEP06-B79.5 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,3985,,between,79.0,80.0
2026-09-06T15:49:57.367251,KXHIGHNY-26SEP06-B77.5 (Market),0.06,MARKET_DATA,REAL,0.06,0.07,0.93,0.94,0.07,23909,,between,77.0,78.0
2026-09-06T15:49:57.367364,KXHIGHNY-26SEP06-B75.5 (Market),0.56,MARKET_DATA,REAL,0.56,0.57,0.43,0.44,0.57,11952,,between,75.0,76.0
2026-09-06T15:49:57.367474,KXHIGHNY-26SEP06-B73.5 (Market),0.36,MARKET_DATA,REAL,0.36,0.38,0.62,0.64,0.36,14500,,between,73.0,74.0
2026-09-06T15:49:57.367582,KXHIGHNY (F),71.96,MARKET_DATA,REAL,,,,,,,,,,
2026-09-06T15:49:59.852575,KXHIGHCHI-26SEP07-T83 (Market),0.01,MARKET_DATA,REAL,0.01,0.02,0.98,0.99,0.01,654,,greater,83.0,
2026-09-06T15:49:59.852959,KXHIGHCHI-26SEP07-T76 (Market),0.02,MARKET_DATA,REAL,0.02,0.03,0.97,0.98,0.02,34,,less,,76.0
2026-09-06T15:49:59.853108,KXHIGHCHI-26SEP07-B82.5 (Market),0.1,MARKET_DATA,REAL,0.1,0.11,0.89,0.9,0.1,34,,between,82.0,83.0
2026-09-06T15:49:59.853233,KXHIGHCHI-26SEP07-B80.5 (Market),0.37,MARKET_DATA,REAL,0.37,0.4,0.6,0.63,0.33,206,,between,80.0,81.0
2026-09-06T15:49:59.853354,KXHIGHCHI-26SEP07-B78.5 (Market),0.35,MARKET_DATA,REAL,0.35,0.36,0.64,0.65,0.36,28,,between,78.0,79.0
2026-09-06T15:49:59.853486,KXHIGHCHI-26SEP07-B76.5 (Market),0.1,MARKET_DATA,REAL,0.1,0.11,0.89,0.9,0.11,41,,between,76.0,77.0
2026-09-06T15:49:59.853602,KXHIGHCHI-26SEP06-T82 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,2377,,greater,82.0,
2026-09-06T15:49:59.853715,KXHIGHCHI-26SEP06-T75 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,2368,,less,,75.0
2026-09-06T15:49:59.853826,KXHIGHCHI-26SEP06-B81.5 (Market),0.02,MARKET_DATA,REAL,0.02,0.03,0.97,0.98,0.02,6656,,between,81.0,82.0
2026-09-06T15:49:59.853936,KXHIGHCHI-26SEP06-B79.5 (Market),0.44,MARKET_DATA,REAL,0.44,0.46,0.54,0.56,0.46,6172,,between,79.0,80.0
2026-09-06T15:49:59.854048,KXHIGHCHI-26SEP06-B77.5 (Market),0.55,MARKET_DATA,REAL,0.55,0.57,0.43,0.45,0.57,8045,,between,77.0,78.0
2026-09-06T15:49:59.854159,KXHIGHCHI-26SEP06-B75.5 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,7269,,between,75.0,76.0
2026-09-06T15:49:59.854269,KXHIGHCHI (F),75.02,MARKET_DATA,REAL,,,,,,,,,,
2026-09-06T15:50:03.023349,KXHIGHLAX-26SEP07-T83 (Market),0.78,MARKET_DATA,REAL,0.78,0.79,0.21,0.22,0.79,385,,greater,83.0,
