Timestamp,Equity,Cash,Exposure,Realized_PnL,Unrealized_PnL
2026-03-23T18:04:34.162829,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:35.293407,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:36.403099,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:37.525186,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:38.647478,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:39.784219,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:41.010771,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:42.123423,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:43.243246,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:44.371191,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:45.493827,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:46.600221,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:47.724756,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:48.965430,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:50.072289,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:51.180555,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:52.290564,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:53.404162,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:54.547127,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:55.834241,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:56.987504,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:58.106272,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:04:59.240562,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:00.348365,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:01.478295,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:02.651617,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:03.887211,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:04.998841,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:06.119575,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:07.272083,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:08.400693,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:09.532219,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:10.862287,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:11.978160,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:13.094393,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:14.226082,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:15.336551,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:16.477253,1628.4940000000001,1628.4940000000001,0.0,-1371.5059999999999,0
2026-03-23T18:05:17.763444,1628.4940000000001,1547.4640000000002,81.03,-1371.5059999999999,0
2026-03-23T18:05:19.146783,1628.104,1547.074,81.03,-1371.896,0.0
2026-03-23T18:05:20.265455,1628.104,1547.074,81.03,-1371.896,0.0
2026-03-23T18:05:21.432745,1628.104,1547.074,81.03,-1371.896,0.0
2026-03-23T18:05:22.555775,1628.104,1547.074,81.03,-1371.896,0.0
2026-03-23T18:05:23.668613,1628.104,1547.074,81.03,-1371.896,0.0
2026-03-23T18:05:24.816498,1628.104,1547.074,81.03,-1371.896,0.0
2026-03-23T18:05:26.046471,1628.104,1547.074,81.03,-1371.896,0.0
2026-03-23T18:05:27.157785,1618.114,1547.074,81.03,-1371.896,-9.989999999999997
2026-03-23T18:05:28.286068,1618.114,1547.074,81.03,-1371.896,-9.989999999999997
2026-03-23T18:05:29.414694,1618.114,1547.074,81.03,-1371.896,-9.989999999999997
2026-03-23T18:05:30.526138,1618.114,1547.074,81.03,-1371.896,-9.989999999999997
2026-03-23T18:05:31.639565,1618.114,1547.074,81.03,-1371.896,-9.989999999999997
2026-03-23T18:05:32.864600,1618.114,1547.074,81.03,-1371.896,-9.989999999999997
2026-03-23T18:05:33.973591,1618.114,1547.074,81.03,-1371.896,-9.989999999999997
2026-03-23T18:05:35.084598,1618.114,1547.074,81.03,-1371.896,-9.989999999999997
2026-03-23T18:05:36.202543,1621.444,1547.074,81.03,-1371.896,-6.659999999999994
2026-03-23T18:05:37.338128,1621.444,1547.074,81.03,-1371.896,-6.659999999999994
2026-03-23T18:05:38.464677,1621.444,1547.074,81.03,-1371.896,-6.659999999999994
